sandwich_id,pair,block_number,timestamp,victim_tx,victim_sender,victim_to,victim_entity,tx_index,log_index,direction,amount0_in,amount1_in,amount0_out,amount1_out,gas_price
73,WETH_USDC,15273437,1659582842,0xf9acf9fce234f132618af9fe461b1378b7f3ed4939221966e53586fcd884449f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,283,531,0,115978739.0,0.0,0.0,6.994475533189919e+16,5663425850.0
74,WETH_USDC,15323533,1660259847,0x9629c6de9ccf7e7d399c3f122f70c8acbc32c4bb6f410c5512e32874e89b3932,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xe66b31678d6c16e9ebf358268a790b763c133750,0xdef1c0ded9bec7f1a1670819833240f027b25eff,264,474,1,0.0,2.6516396474535507e+17,495507822.0,0.0,20022334087.0
75,WETH_USDC,15348735,1660603917,0x76ac0726396b13d4e26983215797354184076216a0c64bf872f7ef71a0169fc0,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xdef1c0ded9bec7f1a1670819833240f027b25eff,122,218,1,0.0,1.586e+17,301663718.0,0.0,22491901504.0
76,WETH_USDC,15348834,1660605189,0xeb212d8850d70705639f755304e4b5b3f848b362e19f6df0598cd944c404bc86,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6be4a00ad27b905b22f1e50677db59bb0ee104aa,0x6be4a00ad27b905b22f1e50677db59bb0ee104aa,59,148,0,1000000000.0,0.0,0.0,5.29350280619007e+17,16805525928.0
77,WETH_USDC,15448266,1661971164,0xaf6b9e15771f8b10f5189def67f5914b64398283f9a9bb3c5444bdc0fec1f69c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x67cea36eeb36ace126a3ca6e21405258130cf33c,233,415,1,0.0,1.534562714642599e+17,236081404.0,0.0,19755983252.0
78,WETH_USDC,15448294,1661971801,0x37fbe2cfd3a40136eba26bfe45b3b830bbfbf3b650ab844eb214a6ec2279eb80,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xb7fbc32c6df7a26f05bf6985b116f4a96cffcc27,0xdef1c0ded9bec7f1a1670819833240f027b25eff,46,92,0,543573148.0,0.0,0.0,3.510236774008421e+17,44853456786.0
79,WETH_USDC,15448507,1661975029,0x57bb4f3276c5c9f9788cd83ab3e9c694865c9bc994e771657a468185d0324022,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,53,133,0,118800000.0,0.0,0.0,7.497573492768435e+16,17247051200.0
80,WETH_USDC,15473853,1662325042,0x9da3412dc8c9fdcc2a57d22342cebbc58714ef86bef5200afc3b42e2de2c068e,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,263,297,1,0.0,3.148474421030537e+16,49249635.0,0.0,7547758744.0
81,WETH_USDC,15498270,1662663267,0xe1fbf6bc78d91cd6ec3a534aa86788ab9ce8fc2bac753109783634fbb1c02111,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x4a65ac88a1399f82173124c9e8c8387f7059d273,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,152,279,1,0.0,1.3041400660255537e+18,2121805305.0,0.0,37857305584.0
82,WETH_USDC,15498579,1662667852,0x0839ab17930ae12372de6bf2cf225e3f36a95d10729c3b7425cd2a4290c978f6,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xdef1c0ded9bec7f1a1670819833240f027b25eff,12,97,1,0.0,8.64621635713063e+16,142019280.0,0.0,30975256267.0
