pair,block_number,timestamp,trigger_entity,trigger_tx,trigger_sender,trigger_to,trigger_tx_index,trigger_direction,trigger_amount0_in,trigger_amount1_in,trigger_amount0_out,trigger_amount1_out,trigger_gas_price,trigger_trade_size,backrunner_entity,backrunner_tx,backrunner_sender,backrunner_to,backrunner_tx_index,backrunner_amount0_in,backrunner_amount1_in,backrunner_amount0_out,backrunner_amount1_out,backrunner_gas_price,tx_index_gap,backrun_profit_usd,gas_cost_usd,net_profit_usd,trigger_value_usd
WETH_DAI,19009559,1705288799,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x71654b08a23f6581fdec6be2ea81a861bdcb3e74a92dfdb91303c12b85797897,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,0,5.658842315782347e+22,0.0,0.0,2.224908413200473e+19,272518129030.0,56588.42315782347,0xa7483c9eb3541a883611306423ac02d331c8c851,0xb091f3f350d2d0242dcdc234c6a61a746ba5206104ba58baf4e76173ed3fe353,0xa7483c9eb3541a883611306423ac02d331c8c851,0x60594a405d53811d3bc4766596efd80fd545a270,1,0.0,1.4049603901272726e+19,3.5632356100128396e+22,0.0,25518129030.0,1,-320.99788582681504,9.795247601162894,-330.7931334279779,56936.06761318027
WETH_DAI,19037033,1705620575,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x30b5db20b6006900e93237081b946803bfc3e89620bce0af010a9505541e7d57,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xd46934919d9138d3005c1f8db794f03e7415babd,3,0,2.36e+22,0.0,0.0,9.513223911602227e+18,22958668919.0,23600.0,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xf9080bd3c544f0e07d7bdb28b108a4565c88f45afedd07e900301e81a062c4c6,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,4,0.0,3.2140493117928243e+18,7.944478939695865e+21,0.0,218270547169.0,1,-310.6799123132578,84.0928933316499,-394.7728056449077,24434.34028745548
WETH_DAI,19037072,1705621043,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xd9c146244b3081d3636e139aef008f6caff7f55201a64384fb2355638435eeeb,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xd46934919d9138d3005c1f8db794f03e7415babd,70,0,5e+21,0.0,0.0,2.013131922860667e+18,24260126396.0,5000.0,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0x055928ec2c66632f839e6fc8b1eb4db91dcbe4e0f2b649af62a08c8ae9fe30db,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,71,0.0,2.8119531383111926e+18,6.940129554244873e+21,0.0,24160126396.0,1,-282.2611402575694,9.308149717171553,-291.56928997474097,5170.649918869886
WETH_DAI,19061529,1705917419,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xe5f64c525459e00e06f3c44a94624b5eea1a63ab236d22c6f1bf26a3fbf3acc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x32ce7e48debdccbfe0cd037cc89526e4382cb81b,9,0,5.779278609389849e+21,0.0,0.0,2.4035406138239104e+18,16905382833.0,5779.2786093898485,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x64bc92aa9651e64f2d8f3d5aea6fee6b818b1ba4a65882e5fd95a0b1d3501a24,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,10,0.0,2.748688413184476e+18,6.568744685150719e+21,0.0,31632834736.0,1,-196.61418569925627,11.67870527256626,-208.29289097182252,5915.845075485628
WETH_DAI,19075885,1706091923,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x46f6797354b7ceb285fd8f80163d21170fbcbe39c88c9ab7694fb91f9181428e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xe4b8583ccb95b25737c016ac88e539d0605949e8,5,0,2e+22,0.0,0.0,8.879154601871642e+18,12223476753.0,20000.0,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x259e31aacf60fb37caa9e451568ba4ccb640037f1914c3293336480ac4fec2fb,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,8,0.0,2.2604405706252616e+18,5.073237989188407e+21,0.0,267641327077.0,3,21.630717425445255,89.71827605132391,-68.08755862587866,20000.0
WETH_DAI,19076488,1706099207,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,0x677de49efb7ce6a71f36e33607a048ebfc04bd5eff209341e827dfe692497f7e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,5,0,4.534366974518713e+22,0.0,0.0,2.000237778923603e+19,12887587982.0,45343.66974518713,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xf307b592ad7b763ffba96220b3e4d2468dcb5b3ed126a1cf540eaa9fc510d47d,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,6,0.0,1.224014751745106e+19,2.765963854456415e+22,0.0,11887587982.0,1,305.4939542891552,3.984937273333114,301.5090170158221,45343.66974518713
WETH_DAI,19076492,1706099255,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,0x6dba40af498347060aff6767a3d702309119f1496e28e7c147177ed23edba859,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,5,0,4.534366974518713e+22,0.0,0.0,1.994998581482378e+19,12428670835.0,45343.66974518713,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x4b845a4e507c7ce726fa080866df846383672d9dca0f431015a1d833a179090a,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,6,0.0,1.421979521693995e+19,3.219398959413513e+22,0.0,11428670835.0,1,415.75049581443454,3.8310998382519967,411.91939597618256,45343.66974518713
WETH_DAI,19076494,1706099279,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,0x3c8b28cef4d19e2c256215a00a43a2fa6051415b60d28135f983884bb85916f8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,4,0,4.534366974518713e+22,0.0,0.0,1.9945296958045053e+19,13196740615.0,45343.66974518713,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x6545e54f189a92eed765d5c3b2c152868018e59da835695125d742267d1fe7fc,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,5,0.0,1.3612798629101371e+19,3.083369542672725e+22,0.0,12196740615.0,1,411.9655049395624,4.088570899620985,407.8769340399414,45343.66974518713
WETH_DAI,19076501,1706099363,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,0xfcef8d649a140d39264350bd4e521f74f2b7ca462677e91fbb13d766751b2723,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,6,0,4.534366974518713e+22,0.0,0.0,1.997443645905495e+19,13858084530.0,45343.66974518713,0x31539cf673d44665c7831def5738fe5f37bbb8d6,0x96dda5c4e2669d943129e35a705c31532a5623de299a5363d34481b3a12192b0,0x31539cf673d44665c7831def5738fe5f37bbb8d6,0x31539cf673d44665c7831def5738fe5f37bbb8d6,7,0.0,1.2886672235905634e+19,2.915430232296743e+22,0.0,12858084530.0,1,355.31153254826495,4.310265495813757,351.00126705245117,45343.66974518713
WETH_DAI,19076504,1706099399,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,0x00a108211dc62ae3a5537230eaa3712b9960a16ce4be0d632f20bffbd0014714,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbc794f1ff9ad7711a9d2e69be5b499e290b8fd3c,6,0,4.534366974518713e+22,0.0,0.0,1.996682058543058e+19,14118445121.0,45343.66974518713,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x4e6b7796d9e55e6f5ba6ad5f8b43318a10ebddc223bc0ad1b2423ee755d19411,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,7,0.0,1.3224740726374476e+19,2.9926822031823506e+22,0.0,13118445121.0,1,372.31956505270864,4.397543135748278,367.9220219169604,45343.66974518713
